"Subject.ID" "Act.Descr" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()"
1 "STANDING" 0.265696920582133 -0.0182981725176081 -0.10784573454611 -0.545795331328326 -0.367716218227378 -0.502645746562824 0.744867411573487 -0.0825562579855908 0.072339870389049 -0.959859435936599 -0.951150627458213 -0.925817590867435 0.0770930495126801 0.0165908438802305 -0.00910758730117003 -0.524721922818732 -0.470412403511239 -0.717322274881844 -0.0208764064320173 -0.0880722729400576 0.0862641666597983 -0.686555715201729 -0.450979810499568 -0.597496136795101 -0.0971120197265994 -0.0417164808293948 -0.0471393985477522 -0.637812687210375 -0.634472244550432 -0.664591977786455 -0.453632943768818 -0.497096402038329 -0.453632943768818 -0.497096402038329 -0.545431612066571 -0.515922167555159 -0.475404785802305 -0.499839593745821 -0.639517432642651 -0.652050770910663 -0.531895161258213 -0.406435448904438 -0.596411165253602 -0.553060616663401 -0.390150939647061 -0.498583091676081 -0.547348892435764 -0.507343617969859 -0.695305113832853 -0.543979776127867 -0.466251676533372 -0.737861932680115 -0.623219182311527 -0.505309434070029 -0.553529065425648 -0.708263420861671 -0.429825832648703 -0.650476162132565 -0.478448523354179 -0.589710231217867 -0.499075765624092 -0.541823079570029 -0.535002770337752 -0.566576670397695 -0.645970655298847 -0.685811262634006
2 "STANDING" 0.273113115788079 -0.0191323183174834 -0.115649958175497 -0.605586497159271 -0.428962986589404 -0.589360062210596 0.660782866688742 -0.147219886910411 0.134865335090728 -0.963015508245033 -0.960033560165563 -0.945365383907285 0.0785353156747351 0.00708771249764901 0.000755760748377483 -0.557809603123841 -0.491875889831788 -0.741885388311258 -0.0517030657821192 -0.0568420186817881 0.0872599422291391 -0.710648927815894 -0.722943674337748 -0.634888927843046 -0.0875587491668874 -0.0433986835453642 -0.0557541828188742 -0.671679103311258 -0.783595466728477 -0.674611933293046 -0.535281800541722 -0.552812545643709 -0.535281800541722 -0.552812545643709 -0.58777744543543 -0.512115278415232 -0.614771054893146 -0.680584887880795 -0.746559539039735 -0.740088733655629 -0.57377091142947 -0.432566581302351 -0.630081222124834 -0.619788102803311 -0.464723862913245 -0.600678614835099 -0.561682049622185 -0.50890379901457 -0.715745330403973 -0.595105612895033 -0.509147543673841 -0.767087015496689 -0.638717694593046 -0.722068978635762 -0.601594889654305 -0.734588540182119 -0.72716774102649 -0.683114494539735 -0.514569861316887 -0.646662308457285 -0.509746432970861 -0.518800797709272 -0.699742945221854 -0.725310337688742 -0.751615078360927 -0.744194981440397
3 "STANDING" 0.273428719636364 -0.017856067384956 -0.106492632429097 -0.623413602046921 -0.480015920697654 -0.653625579293255 0.707814353343108 -0.0260590480328739 0.0480937904190616 -0.966457565630499 -0.9445645371261 -0.926966278211144 0.0701731261988856 0.0144664329060411 -0.000526818872875366 -0.635484688041056 -0.55721186773783 -0.796066240234604 -0.0248490682828446 -0.0743565308442815 0.0866875497119062 -0.699262195705865 -0.76302218170088 -0.709483440322581 -0.0991554609633431 -0.0401923943695015 -0.0521178264170088 -0.689328428607038 -0.842659862111437 -0.743028500565982 -0.563140802770059 -0.591224780306452 -0.563140802770059 -0.591224780306452 -0.650182434328446 -0.607658214170381 -0.643150121648094 -0.674010290979472 -0.784056656246334 -0.80366136372434 -0.625733289873607 -0.501779938505279 -0.699656828592375 -0.623805015199413 -0.502753639795894 -0.657443765803519 -0.645893496630499 -0.582949919157742 -0.780101644193548 -0.657844055881525 -0.559851186088408 -0.81080601659824 -0.642097719778592 -0.775144985073314 -0.670734708996481 -0.719276622702346 -0.758505287214076 -0.751008875659824 -0.579076453758064 -0.663079838985044 -0.604752108072727 -0.615643694857361 -0.716822144279179 -0.703839403007038 -0.810085498651026 -0.810032718739003
4 "SITTING" 0.272539814977012 -0.0196269625326897 -0.11315608545977 -0.281964430525287 -0.17613742984931 -0.549282546551724 0.764436780229885 0.044337788916092 0.125457421218391 -0.956953066206897 -0.938823037356322 -0.949282320574713 0.0775713294482759 0.0174117419027931 -0.00360800725517241 -0.336788403446092 -0.251158235097701 -0.753874834367816 -0.0232873082755172 -0.0839998463471264 0.0868888209068965 -0.483022565356322 -0.667520037241379 -0.603180896781609 -0.116189387751724 -0.035932478745977 -0.0493020654252874 -0.503054162298851 -0.849875585632184 -0.565894748356322 -0.241791763733333 -0.34509942083908 -0.241791763733333 -0.34509942083908 -0.382594780214138 -0.383932867114943 -0.43332133988046 -0.52562316816092 -0.686436698735632 -0.733322662413793 -0.334927219252874 -0.183638950334483 -0.611943277701149 -0.263682625386207 -0.228399871908161 -0.552873982298851 -0.372550915445977 -0.285192418755862 -0.720976018160919 -0.360214003509195 -0.265772746463218 -0.786448766436782 -0.366240979524138 -0.732761832528736 -0.515054256965517 -0.522176196827586 -0.637891595977012 -0.675508491034483 -0.32662695802069 -0.461404361413793 -0.35743173438046 -0.425759905436782 -0.577405288747126 -0.57467201045977 -0.719798534367816 -0.771924614712644
4 "STANDING" 0.274804706269565 -0.0129853880308261 -0.105390061443478 -0.727483531531739 -0.636189818846522 -0.770093981521739 0.684713020826087 0.138408788421064 0.178759559052174 -0.964786981173913 -0.942397919143478 -0.938423148586957 0.0793526696926087 -0.00174378580688261 -0.00879818509382609 -0.743464505665217 -0.709988127986957 -0.877199407347826 -0.031080660126087 -0.0767269628026087 0.0990570253634783 -0.784000472965217 -0.847680387434783 -0.772973401956522 -0.104708375420435 -0.0415975150691304 -0.0610267445426957 -0.807283824913044 -0.922409330043478 -0.817392063869565 -0.682546319061304 -0.705454861278261 -0.682546319061304 -0.705454861278261 -0.75957880426087 -0.746852521913044 -0.740631826869565 -0.775247334013043 -0.869407264695652 -0.886122729173913 -0.739969365652174 -0.655273777351739 -0.809437242608696 -0.723840788472826 -0.650508323306087 -0.767731153913043 -0.757736461280435 -0.72141722826087 -0.864561654652174 -0.752202422547826 -0.717955887352174 -0.888572248652174 -0.746146181156522 -0.86888673 -0.755222676782609 -0.797239840256522 -0.837731345304348 -0.801731112652174 -0.706297967808696 -0.752967151617391 -0.740019407930435 -0.757571817956522 -0.809291430826087 -0.792319103130435 -0.883859369434783 -0.897583758347826
5 "STANDING" 0.279177960301325 -0.0154833455336192 -0.105661736816887 -0.507691011391722 -0.402724906078146 -0.646443640175497 0.698153719072848 0.112313109736755 0.0921607197449904 -0.964629108807947 -0.939973777950331 -0.94207867884106 0.0841019899622517 0.0017656830384106 -0.0029537113427351 -0.575890535679801 -0.506544358609603 -0.78456199486755 -0.0294516873643046 -0.0774316445596026 0.0866267116745033 -0.709955676983444 -0.705638306688742 -0.606589817380795 -0.103522877147351 -0.0490624519374172 -0.0506258160122517 -0.662581310334437 -0.774114270364238 -0.564680771249007 -0.460866415568709 -0.52162345171192 -0.460866415568709 -0.52162345171192 -0.589313870006622 -0.589031268133113 -0.602770284825828 -0.664078383532781 -0.707383517582782 -0.734187493344371 -0.55123770513245 -0.440232431795033 -0.696171811490066 -0.492829885748675 -0.422162171100331 -0.649351210748344 -0.604769869438742 -0.550991969857417 -0.768762357980132 -0.584013626983444 -0.491500434303907 -0.798835563807947 -0.632239300829801 -0.71706218781457 -0.537329127293278 -0.73573857718543 -0.702290390960265 -0.669353687483444 -0.528503022745033 -0.594259529756954 -0.573176177044172 -0.613485123609272 -0.677355755703311 -0.715731148145695 -0.748829309536424 -0.735610602483444
6 "STANDING" 0.272376614181538 -0.0175697042641846 -0.11599454136 -0.505086085072062 -0.368403670137262 -0.672512004586708 0.688702063569231 0.0162055455953846 0.0475199990906462 -0.958898709015385 -0.9509348864 -0.937910223507692 0.0813833604034769 0.000479281129661539 -0.00225896302076923 -0.531468310262154 -0.454437496885815 -0.738955207627692 -0.0433611785374462 -0.0706129097498462 0.0973130293888923 -0.653800660041538 -0.626252072652308 -0.599910232855692 -0.0829159966093231 -0.0454921005615385 -0.0533610323667692 -0.546009968372308 -0.677635980501539 -0.526908306306892 -0.464770006998123 -0.483790606354154 -0.464770006998123 -0.483790606354154 -0.551413652396923 -0.502935062310769 -0.549494852037046 -0.579837818063692 -0.621936158532308 -0.644474485460492 -0.506174926221538 -0.392041410138769 -0.683725945015385 -0.506680276530492 -0.396677793847908 -0.694365207233846 -0.549394273848923 -0.503558973703692 -0.720867157741538 -0.555346159400332 -0.437837459287385 -0.755751144098462 -0.537201442069846 -0.621188724858462 -0.507604207506462 -0.692862440004 -0.633236229753846 -0.67302031484 -0.473974924380431 -0.570910289993846 -0.494882316238462 -0.516711262173969 -0.579130051151385 -0.657368673849846 -0.651886909221538 -0.660175875210246
7 "SITTING" 0.26975303484739 -0.0197172891035341 -0.113423584203213 -0.485187847278715 -0.456689568218876 -0.352185504281727 0.642454313855422 -0.0456977800429719 0.0394602698100442 -0.957858092349398 -0.955033427429719 -0.927020792851406 0.0836716912514056 0.00696488153534137 -0.00864496194248996 -0.528796993420683 -0.540023028026908 -0.591928672239679 -0.056196167979759 -0.059643871854739 0.102900904185984 -0.625450021895582 -0.581579749100402 -0.594305602899598 -0.0941973969615502 -0.0422900145865462 -0.0636891701071486 -0.637273681522892 -0.603126605369076 -0.695385495875502 -0.412083624852209 -0.416915340874819 -0.412083624852209 -0.416915340874819 -0.539232472351526 -0.451218703495582 -0.501441433911647 -0.523579608066265 -0.649748892682731 -0.582982689132932 -0.504482546899598 -0.473237529291566 -0.437201882291687 -0.478681597779518 -0.483349198381526 -0.359181784455462 -0.556494139779518 -0.563194917372972 -0.565807510943293 -0.542755182738956 -0.546316348600803 -0.616771362561446 -0.572561349140562 -0.552659990730522 -0.582576783096385 -0.645724032746988 -0.605575545076305 -0.63780481635743 -0.421909187971888 -0.506239545905221 -0.454728752709719 -0.451508524545382 -0.555096296344056 -0.588176408626506 -0.59597963217739 -0.596649181482731
7 "STANDING" 0.272147411016949 -0.0148790771762712 -0.108562358525424 -0.967184238135593 -0.925026000677966 -0.896604936423729 0.845185170677966 -0.0265097204440678 0.0120837753338983 -0.950967695084746 -0.956490563220339 -0.907621654237288 0.081120334440678 0.0103279081584746 -0.00484609525677966 -0.979491743728814 -0.973177461525424 -0.969923960338983 -0.0336209423525424 -0.0855567964576271 0.0761010826610169 -0.947573399491525 -0.951330662881356 -0.954692526440678 -0.094230497338983 -0.0378533843271186 -0.0498115394966102 -0.973763780508475 -0.97791306220339 -0.984713438135593 -0.930089571694915 -0.906345811915254 -0.930089571694915 -0.906345811915254 -0.975565607288136 -0.96981515 -0.921461890338983 -0.915581062881356 -0.980940017118644 -0.974691638135593 -0.966632588135593 -0.944687678644068 -0.926890869322034 -0.967649575084746 -0.920279976271186 -0.889622197288136 -0.979486725254237 -0.972951938983051 -0.966250347118644 -0.981423200508475 -0.975507990847458 -0.972198541016949 -0.944282004067797 -0.958589813728814 -0.961085666440678 -0.949336933728814 -0.947958669661017 -0.957000890677966 -0.925226557169492 -0.911234750271186 -0.969617348305085 -0.96923423559322 -0.940258003898305 -0.915738269491525 -0.976540026101695 -0.974153719491525
8 "SITTING" 0.270759063295374 -0.0181894974688612 -0.106809623683986 -0.582958863017438 -0.349383732046263 -0.499472687913167 0.647498175409253 0.0303211113118861 0.0836542406807936 -0.954256666035587 -0.94844645047331 -0.923180663601423 0.084215745375516 0.000860301581786477 -0.0196719912994306 -0.575993073911744 -0.458724925167972 -0.66835678475516 0.00359053897160142 -0.091077509832669 0.0640867611561922 -0.656219242281851 -0.570941237019217 -0.511392038012811 -0.104969855200356 -0.0400922240331673 -0.0582887148366548 -0.674984452240214 -0.683086930288968 -0.695970301754448 -0.468522592843416 -0.554038979266192 -0.468522592843416 -0.554038979266192 -0.534248616612028 -0.564471999961566 -0.476214943826192 -0.581422885341281 -0.673625525658363 -0.715838385516014 -0.581831414648399 -0.374944236206406 -0.550979388719929 -0.585343460535587 -0.378656458967972 -0.513206312959075 -0.59163500910605 -0.495906215569395 -0.644285802406762 -0.598546245236655 -0.45636839585694 -0.691480916950178 -0.601382421248399 -0.575938482711388 -0.525562919047438 -0.675275353078292 -0.573087292172598 -0.553968587869751 -0.512106792856939 -0.651638076286121 -0.529244911130605 -0.618027414911032 -0.609984289180071 -0.636673891144128 -0.70215621546726 -0.755717299964413
